outlier_rank,symbol,event_date,excess_bps,liquidity,row_date,Open,High,Low,Close,Volume,pct_change,flags
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-19,1.41265073,1.41265073,1.26737814,1.26737814,529.00549612,,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-20,1.13713374,1.13713374,1.02191755,1.02191755,1257.63570775,-19.36758906067293,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-21,0.91672015,0.91672015,0.82554908,0.82554908,16738.53239602,-19.215686236135188,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-22,0.74139116,0.74139116,0.66725205,0.66725205,83373.26243528,-19.17475699930524,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-25,0.59912421,0.59912421,0.53901141,0.53901141,113706.23795795,-19.21922008332534,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-26,0.4849099,0.4849099,0.43581778,0.43581778,36092.1485653,-19.144980622951934,BUYUK_TEK_GUN_HAREKETI(>%15)
1,AYES,2013-02-22,-6780.624172590797,illiquid,2013-02-27,0.39173506,0.39173506,0.35165986,0.35165986,135086.04498972,-19.3103457137522,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-22,8.797439,8.815578,8.235129,8.543492,247190.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-23,8.543492,8.543492,7.81793,7.890487,257348.0,-7.64330323010779,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-24,7.600262,8.833717,7.201203,8.41652,402096.0,6.666673425860781,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-27,7.582123,7.582123,6.820282,6.820282,249607.0,-18.965534448917133,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-28,6.130999,6.130999,5.514271,5.514271,474217.0,-19.14892961903921,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-29,4.951961,4.951961,4.444067,4.444067,562711.0,-19.407896347495424,BUYUK_TEK_GUN_HAREKETI(>%15)
2,AFYON,2015-07-27,-6653.379229931425,mid,2015-07-30,3.990591,3.990591,3.591532,3.591532,421543.0,-19.18366667289221,BUYUK_TEK_GUN_HAREKETI(>%15)
3,AYES,2013-02-21,-6601.206200067455,illiquid,2013-02-18,1.74828071,1.74828071,1.57295152,1.57295152,389.26819526,,BUYUK_TEK_GUN_HAREKETI(>%15)
3,AYES,2013-02-21,-6601.206200067455,illiquid,2013-02-19,1.41265073,1.41265073,1.26737814,1.26737814,529.00549612,-19.42675130890239,BUYUK_TEK_GUN_HAREKETI(>%15)
3,AYES,2013-02-21,-6601.206200067455,illiquid,2013-02-20,1.13713374,1.13713374,1.02191755,1.02191755,1257.63570775,-19.36758906067293,BUYUK_TEK_GUN_HAREKETI(>%15)
3,AYES,2013-02-21,-6601.206200067455,illiquid,2013-02-21,0.91672015,0.91672015,0.82554908,0.82554908,16738.53239602,-19.215686236135188,BUYUK_TEK_GUN_HAREKETI(>%15)
3,AYES,2013-02-21,-6601.206200067455,illiquid,2013-02-22,0.74139116,0.74139116,0.66725205,0.66725205,83373.26243528,-19.17475699930524,BUYUK_TEK_GUN_HAREKETI(>%15)
3,AYES,2013-02-21,-6601.206200067455,illiquid,2013-02-25,0.59912421,0.59912421,0.53901141,0.53901141,113706.23795795,-19.21922008332534,BUYUK_TEK_GUN_HAREKETI(>%15)
3,AYES,2013-02-21,-6601.206200067455,illiquid,2013-02-26,0.4849099,0.4849099,0.43581778,0.43581778,36092.1485653,-19.144980622951934,BUYUK_TEK_GUN_HAREKETI(>%15)
4,BALAT,2012-09-14,-6541.959448342932,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
4,BALAT,2012-09-14,-6541.959448342932,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,-19.062498928859117,BUYUK_TEK_GUN_HAREKETI(>%15)
4,BALAT,2012-09-14,-6541.959448342932,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,-19.305019049533335,BUYUK_TEK_GUN_HAREKETI(>%15)
4,BALAT,2012-09-14,-6541.959448342932,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
4,BALAT,2012-09-14,-6541.959448342932,illiquid,2012-09-17,22.17262,22.17262,19.955359,19.955359,3742.0,-19.148928842856627,BUYUK_TEK_GUN_HAREKETI(>%15)
4,BALAT,2012-09-14,-6541.959448342932,illiquid,2012-09-18,17.913144,17.913144,16.104324,16.104324,507.0,-19.29824965814949,BUYUK_TEK_GUN_HAREKETI(>%15)
4,BALAT,2012-09-14,-6541.959448342932,illiquid,2012-09-19,14.470551,14.470551,13.011826,13.011826,1410.0,-19.20290476023706,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-10,64.475645,64.475645,57.76551,57.76551,59.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,-19.191919191919183,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,-19.062498928859117,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,-19.305019049533335,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-17,22.17262,22.17262,19.955359,19.955359,3742.0,-19.148928842856627,BUYUK_TEK_GUN_HAREKETI(>%15)
5,BALAT,2012-09-13,-6528.424684562584,illiquid,2012-09-18,17.913144,17.913144,16.104324,16.104324,507.0,-19.29824965814949,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-17,22.17262,22.17262,19.955359,19.955359,3742.0,-19.148928842856627,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-18,17.913144,17.913144,16.104324,16.104324,507.0,-19.29824965814949,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-19,14.470551,14.470551,13.011826,13.011826,1410.0,-19.20290476023706,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-20,11.698974,11.698974,10.50282,10.50282,3946.0,-19.282505007367913,BUYUK_TEK_GUN_HAREKETI(>%15)
6,BALAT,2012-09-18,-6524.875974520875,illiquid,2012-09-21,9.452539,9.452539,8.48978,8.48978,6670.0,-19.16666190604047,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-05,98.901555,98.901555,98.901555,98.901555,1.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-06,88.982225,88.982225,88.982225,88.982225,3.0,-10.029498525073743,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-07,79.93813,79.93813,71.76927,71.76927,20.0,-19.34426229508196,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-10,64.475645,64.475645,57.76551,57.76551,59.0,-19.512195121951226,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,-19.191919191919183,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,-19.062498928859117,BUYUK_TEK_GUN_HAREKETI(>%15)
7,BALAT,2012-09-10,-6500.744726867286,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,-19.305019049533335,BUYUK_TEK_GUN_HAREKETI(>%15)
8,BALAT,2012-09-07,-6482.219136182542,illiquid,2012-09-04,109.987865,109.987865,109.987865,109.987865,5.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
8,BALAT,2012-09-07,-6482.219136182542,illiquid,2012-09-05,98.901555,98.901555,98.901555,98.901555,1.0,-10.07957559681697,BUYUK_TEK_GUN_HAREKETI(>%15)
8,BALAT,2012-09-07,-6482.219136182542,illiquid,2012-09-06,88.982225,88.982225,88.982225,88.982225,3.0,-10.029498525073743,BUYUK_TEK_GUN_HAREKETI(>%15)
8,BALAT,2012-09-07,-6482.219136182542,illiquid,2012-09-07,79.93813,79.93813,71.76927,71.76927,20.0,-19.34426229508196,BUYUK_TEK_GUN_HAREKETI(>%15)
8,BALAT,2012-09-07,-6482.219136182542,illiquid,2012-09-10,64.475645,64.475645,57.76551,57.76551,59.0,-19.512195121951226,BUYUK_TEK_GUN_HAREKETI(>%15)
8,BALAT,2012-09-07,-6482.219136182542,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,-19.191919191919183,BUYUK_TEK_GUN_HAREKETI(>%15)
8,BALAT,2012-09-07,-6482.219136182542,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,-19.062498928859117,BUYUK_TEK_GUN_HAREKETI(>%15)
9,BALAT,2012-09-17,-6472.4519304744,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
9,BALAT,2012-09-17,-6472.4519304744,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,-19.305019049533335,BUYUK_TEK_GUN_HAREKETI(>%15)
9,BALAT,2012-09-17,-6472.4519304744,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
9,BALAT,2012-09-17,-6472.4519304744,illiquid,2012-09-17,22.17262,22.17262,19.955359,19.955359,3742.0,-19.148928842856627,BUYUK_TEK_GUN_HAREKETI(>%15)
9,BALAT,2012-09-17,-6472.4519304744,illiquid,2012-09-18,17.913144,17.913144,16.104324,16.104324,507.0,-19.29824965814949,BUYUK_TEK_GUN_HAREKETI(>%15)
9,BALAT,2012-09-17,-6472.4519304744,illiquid,2012-09-19,14.470551,14.470551,13.011826,13.011826,1410.0,-19.20290476023706,BUYUK_TEK_GUN_HAREKETI(>%15)
9,BALAT,2012-09-17,-6472.4519304744,illiquid,2012-09-20,11.698974,11.698974,10.50282,10.50282,3946.0,-19.282505007367913,BUYUK_TEK_GUN_HAREKETI(>%15)
10,BALAT,2012-09-11,-6469.585490123535,illiquid,2012-09-06,88.982225,88.982225,88.982225,88.982225,3.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
10,BALAT,2012-09-11,-6469.585490123535,illiquid,2012-09-07,79.93813,79.93813,71.76927,71.76927,20.0,-19.34426229508196,BUYUK_TEK_GUN_HAREKETI(>%15)
10,BALAT,2012-09-11,-6469.585490123535,illiquid,2012-09-10,64.475645,64.475645,57.76551,57.76551,59.0,-19.512195121951226,BUYUK_TEK_GUN_HAREKETI(>%15)
10,BALAT,2012-09-11,-6469.585490123535,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,-19.191919191919183,BUYUK_TEK_GUN_HAREKETI(>%15)
10,BALAT,2012-09-11,-6469.585490123535,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,-19.062498928859117,BUYUK_TEK_GUN_HAREKETI(>%15)
10,BALAT,2012-09-11,-6469.585490123535,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,-19.305019049533335,BUYUK_TEK_GUN_HAREKETI(>%15)
10,BALAT,2012-09-11,-6469.585490123535,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
11,BALAT,2012-09-12,-6452.630464102964,illiquid,2012-09-07,79.93813,79.93813,71.76927,71.76927,20.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
11,BALAT,2012-09-12,-6452.630464102964,illiquid,2012-09-10,64.475645,64.475645,57.76551,57.76551,59.0,-19.512195121951226,BUYUK_TEK_GUN_HAREKETI(>%15)
11,BALAT,2012-09-12,-6452.630464102964,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,-19.191919191919183,BUYUK_TEK_GUN_HAREKETI(>%15)
11,BALAT,2012-09-12,-6452.630464102964,illiquid,2012-09-12,42.01128,42.01128,37.780978,37.780978,59.0,-19.062498928859117,BUYUK_TEK_GUN_HAREKETI(>%15)
11,BALAT,2012-09-12,-6452.630464102964,illiquid,2012-09-13,33.988293,33.988293,30.487353,30.487353,207.0,-19.305019049533335,BUYUK_TEK_GUN_HAREKETI(>%15)
11,BALAT,2012-09-12,-6452.630464102964,illiquid,2012-09-14,27.42403,27.42403,24.681626,24.681626,567.0,-19.043066808719,BUYUK_TEK_GUN_HAREKETI(>%15)
11,BALAT,2012-09-12,-6452.630464102964,illiquid,2012-09-17,22.17262,22.17262,19.955359,19.955359,3742.0,-19.148928842856627,BUYUK_TEK_GUN_HAREKETI(>%15)
12,BALAT,2012-09-06,-6447.864688784919,illiquid,2012-09-03,135.95317,135.95317,122.241155,122.241155,3.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
12,BALAT,2012-09-06,-6447.864688784919,illiquid,2012-09-04,109.987865,109.987865,109.987865,109.987865,5.0,-10.023866348448696,BUYUK_TEK_GUN_HAREKETI(>%15)
12,BALAT,2012-09-06,-6447.864688784919,illiquid,2012-09-05,98.901555,98.901555,98.901555,98.901555,1.0,-10.07957559681697,BUYUK_TEK_GUN_HAREKETI(>%15)
12,BALAT,2012-09-06,-6447.864688784919,illiquid,2012-09-06,88.982225,88.982225,88.982225,88.982225,3.0,-10.029498525073743,BUYUK_TEK_GUN_HAREKETI(>%15)
12,BALAT,2012-09-06,-6447.864688784919,illiquid,2012-09-07,79.93813,79.93813,71.76927,71.76927,20.0,-19.34426229508196,BUYUK_TEK_GUN_HAREKETI(>%15)
12,BALAT,2012-09-06,-6447.864688784919,illiquid,2012-09-10,64.475645,64.475645,57.76551,57.76551,59.0,-19.512195121951226,BUYUK_TEK_GUN_HAREKETI(>%15)
12,BALAT,2012-09-06,-6447.864688784919,illiquid,2012-09-11,51.93061,51.93061,46.6792,46.6792,197.0,-19.191919191919183,BUYUK_TEK_GUN_HAREKETI(>%15)
13,AYES,2013-02-20,-6339.402353643917,illiquid,2013-02-15,2.32937088,2.32937088,1.9436471,1.9436471,16958.11958309,,BUYUK_TEK_GUN_HAREKETI(>%15)
13,AYES,2013-02-20,-6339.402353643917,illiquid,2013-02-18,1.74828071,1.74828071,1.57295152,1.57295152,389.26819526,-19.072164900716803,BUYUK_TEK_GUN_HAREKETI(>%15)
13,AYES,2013-02-20,-6339.402353643917,illiquid,2013-02-19,1.41265073,1.41265073,1.26737814,1.26737814,529.00549612,-19.42675130890239,BUYUK_TEK_GUN_HAREKETI(>%15)
13,AYES,2013-02-20,-6339.402353643917,illiquid,2013-02-20,1.13713374,1.13713374,1.02191755,1.02191755,1257.63570775,-19.36758906067293,BUYUK_TEK_GUN_HAREKETI(>%15)
13,AYES,2013-02-20,-6339.402353643917,illiquid,2013-02-21,0.91672015,0.91672015,0.82554908,0.82554908,16738.53239602,-19.215686236135188,BUYUK_TEK_GUN_HAREKETI(>%15)
13,AYES,2013-02-20,-6339.402353643917,illiquid,2013-02-22,0.74139116,0.74139116,0.66725205,0.66725205,83373.26243528,-19.17475699930524,BUYUK_TEK_GUN_HAREKETI(>%15)
13,AYES,2013-02-20,-6339.402353643917,illiquid,2013-02-25,0.59912421,0.59912421,0.53901141,0.53901141,113706.23795795,-19.21922008332534,BUYUK_TEK_GUN_HAREKETI(>%15)
14,RODRG,2019-09-18,-6310.4474291106435,illiquid,2019-09-13,1.5375,1.55,1.505,1.55,179312.0,,BUYUK_TEK_GUN_HAREKETI(>%15)
14,RODRG,2019-09-18,-6310.4474291106435,illiquid,2019-09-16,1.55,1.55,1.5,1.54,327052.0,-0.6451612903225823,BUYUK_TEK_GUN_HAREKETI(>%15)
14,RODRG,2019-09-18,-6310.4474291106435,illiquid,2019-09-17,1.5625,1.675,1.5225,1.585,366388.0,2.922077922077926,BUYUK_TEK_GUN_HAREKETI(>%15)
14,RODRG,2019-09-18,-6310.4474291106435,illiquid,2019-09-18,1.58,1.6625,1.5225,1.6375,1559796.0,3.312302839116721,BUYUK_TEK_GUN_HAREKETI(>%15)
14,RODRG,2019-09-18,-6310.4474291106435,illiquid,2019-09-19,1.605,1.605,1.31,1.31,1241016.0,-19.999999999999996,BUYUK_TEK_GUN_HAREKETI(>%15)
14,RODRG,2019-09-18,-6310.4474291106435,illiquid,2019-09-20,1.075,1.1775,1.05,1.05,1453000.0,-19.84732824427481,BUYUK_TEK_GUN_HAREKETI(>%15)
14,RODRG,2019-09-18,-6310.4474291106435,illiquid,2019-09-23,0.84,1.0225,0.84,0.84,1981848.0,-20.000000000000007,BUYUK_TEK_GUN_HAREKETI(>%15)
15,AYES,2013-02-19,-6308.18770170339,illiquid,2013-02-14,1.9286189,2.12398569,1.9286189,2.12398569,35163.89363815,,BUYUK_TEK_GUN_HAREKETI(>%15)
15,AYES,2013-02-19,-6308.18770170339,illiquid,2013-02-15,2.32937088,2.32937088,1.9436471,1.9436471,16958.11958309,-8.49057462341002,BUYUK_TEK_GUN_HAREKETI(>%15)
15,AYES,2013-02-19,-6308.18770170339,illiquid,2013-02-18,1.74828071,1.74828071,1.57295152,1.57295152,389.26819526,-19.072164900716803,BUYUK_TEK_GUN_HAREKETI(>%15)
15,AYES,2013-02-19,-6308.18770170339,illiquid,2013-02-19,1.41265073,1.41265073,1.26737814,1.26737814,529.00549612,-19.42675130890239,BUYUK_TEK_GUN_HAREKETI(>%15)
15,AYES,2013-02-19,-6308.18770170339,illiquid,2013-02-20,1.13713374,1.13713374,1.02191755,1.02191755,1257.63570775,-19.36758906067293,BUYUK_TEK_GUN_HAREKETI(>%15)
15,AYES,2013-02-19,-6308.18770170339,illiquid,2013-02-21,0.91672015,0.91672015,0.82554908,0.82554908,16738.53239602,-19.215686236135188,BUYUK_TEK_GUN_HAREKETI(>%15)
15,AYES,2013-02-19,-6308.18770170339,illiquid,2013-02-22,0.74139116,0.74139116,0.66725205,0.66725205,83373.26243528,-19.17475699930524,BUYUK_TEK_GUN_HAREKETI(>%15)
16,AYES,2013-02-18,-6302.732227218373,illiquid,2013-02-13,1.59298912,1.75328991,1.59298912,1.75328991,1497.18536637,,BUYUK_TEK_GUN_HAREKETI(>%15)
